decile,tasa_exceso,n
0,0.017834394904458598,785
1,0.07015306122448979,784
2,0.1337579617834395,785
3,0.17346938775510204,784
4,0.20254777070063695,785
5,0.28188775510204084,784
6,0.3596938775510204,784
7,0.42165605095541403,785
8,0.5178571428571429,784
9,0.686624203821656,785
